@relation worldSeries
% for the following attributes, there are 2 of each
% each attribute corresponds to one of the competing teams
@attribute league           {0,1}
@attribute league           {0,1}
@attribute winPercentage    REAL
@attribute winPercentage    REAL
@attribute battingAvg       REAL
@attribute battingAvg       REAL
@attribute ops              REAL
@attribute ops              REAL
@attribute era              REAL
@attribute era              REAL
@attribute whip             REAL
@attribute whip             REAL
@attribute pb               REAL
@attribute pb               REAL
@attribute fpct             REAL
@attribute fpct             REAL
@attribute champion         {0,1}


@data
0,1,0.611,0.646,0.251,0.252,0.666,0.711,2.85,3.07,1.18,1.18,15,9,0.976,0.983,0
0,1,0.574,0.611,0.272,0.253,0.716,0.704,3.43,3.15,1.26,1.21,19,12,0.973,0.982,0
0,1,0.599,0.63,0.245,0.254,0.647,0.722,2.81,3.14,1.12,1.22,9,16,0.98,0.973,0
1,0,0.606,0.586,0.258,0.256,0.733,0.675,3.32,2.62,1.21,1.13,23,11,0.981,0.98,0
0,1,0.627,0.568,0.263,0.255,0.699,0.716,3.05,3.36,1.19,1.22,10,8,0.977,0.976,0
0,1,0.617,0.673,2.99,2.83,0.662,0.756,2.99,2.83,1.18,1.15,7,14,0.979,0.983,0
1,0,0.667,0.63,3.15,3.71,0.745,0.772,3.15,3.71,1.21,1.36,12,10,0.98,0.975,0
1,0,0.639,0.599,3,3.31,0.745,0.746,3,3.31,1.18,1.3,16,17,0.981,0.978,1
1,0,0.61,0.63,3.19,3.51,0.716,0.781,3.19,3.51,1.2,1.31,16,6,0.98,0.984,1
0,1,0.605,0.617,3.22,3.63,0.753,0.788,3.22,3.63,1.24,1.3,13,13,0.98,0.98,1
0,1,0.586,0.613,3.12,3.18,0.74,0.718,3.12,3.18,1.25,1.23,10,11,0.978,0.982,1
1,0,0.642,0.605,3.28,3.42,0.755,0.746,3.28,3.42,1.22,1.29,10,10,0.979,0.981,1
1,0,0.599,0.562,0.286,0.27,0.758,0.726,3.84,3.46,1.34,1.32,15,8,0.977,0.979,1
1,0,0.607,0.632,0.267,0.262,0.707,0.697,2.9,3.01,1.18,1.21,5,13,0.984,0.979,1
1,0,0.586,0.568,0.279,0.264,0.789,0.697,3.99,3.37,1.38,1.31,12,14,0.979,0.983,1
0,1,0.556,0.605,0.249,0.269,0.702,0.761,3.35,3.64,1.3,1.31,13,5,0.975,0.981,1
0,1,0.623,0.562,0.264,0.252,0.714,0.714,3.11,3.49,1.23,1.3,15,10,0.983,0.98,1
0,1,0.586,0.525,0.263,0.261,0.718,0.758,3.94,4.67,1.38,1.42,16,21,0.983,0.983,1
1,0,0.642,0.584,0.263,0.248,0.736,0.657,3.44,2.96,1.3,1.15,13,7,0.984,0.978,1
0,1,0.568,0.611,0.25,0.261,0.706,0.712,3.3,3.13,1.23,1.24,11,13,0.982,0.978,1
1,0,0.636,0.562,0.254,0.265,0.727,0.724,3.18,3.39,1.22,1.29,14,19,0.986,0.982,1
0,1,0.605,0.593,0.254,0.263,0.703,0.747,3.14,3.92,1.24,1.31,13,15,0.983,0.985,1
0,1,0.599,0.586,0.274,0.279,0.777,0.789,3.97,4.22,1.35,1.43,12,6,0.975,0.982,1
1,0,0.694,0.625,0.291,0.25,0.839,0.735,3.83,3.44,1.31,1.25,11,8,0.983,0.983,1
0,1,0.605,0.704,0.253,0.288,0.739,0.825,3.63,3.82,1.3,1.25,17,12,0.983,0.984,1
0,1,0.636,0.605,0.277,0.282,0.777,0.819,3.63,4.13,1.3,1.38,11,19,0.982,0.982,1
0,1,0.58,0.54,0.263,0.277,0.776,0.804,4.16,4.76,1.36,1.43,8,13,0.98,0.981,1
1,0,0.594,0.568,0.267,0.267,0.769,0.783,4.02,3.87,1.31,1.24,21,12,0.982,0.986,1
0,1,0.59,0.611,0.267,0.282,0.786,0.773,3.54,3.69,1.3,1.28,7,7,0.985,0.986,1
0,1,0.648,0.605,0.278,0.282,0.804,0.832,3.75,4.18,1.25,1.29,9,21,0.985,0.981,1
0,1,0.549,0.611,0.256,0.262,0.73,0.747,3.51,3.61,1.23,1.25,6,9,0.985,0.985,1
1,0,0.586,0.516,0.274,0.269,0.777,0.769,3.84,4.54,1.32,1.38,6,8,0.983,0.984,1
0,1,0.552,0.593,0.28,0.279,0.791,0.806,4.32,3.87,1.36,1.27,9,10,0.989,0.986,1
1,0,0.599,0.568,0.26,0.255,0.762,0.77,3.82,3.88,1.29,1.36,10,5,0.985,0.985,1
0,1,0.574,0.636,0.258,0.283,0.781,0.839,4.16,4.26,1.35,1.35,10,11,0.987,0.985,1
1,0,0.556,0.568,0.276,0.257,0.757,0.729,3.93,3.36,1.31,1.27,8,6,0.982,0.988,1
1,0,0.543,0.58,0.268,0.269,0.757,0.724,3.75,3.68,1.29,1.27,14,5,0.983,0.981,1
1,0,0.549,0.543,0.263,0.255,0.79,0.699,4.01,3.5,1.26,1.17,6,11,0.983,0.984,1
0,1,0.556,0.586,0.244,0.269,0.712,0.734,3.43,3.73,1.18,1.28,4,5,0.986,0.985,1
1,0,0.584,0.64,0.262,0.256,0.759,0.772,3.84,3.15,1.24,1.11,12,12,0.985,0.983,1
0,1,0.642,0.623,0.249,0.282,0.771,0.823,3.38,4.12,1.15,1.27,19,16,0.985,0.983,1
0,1,0.564,0.667,0.25,0.268,0.774,0.792,3.38,3.75,1.15,1.25,10,25,0.983,0.987,1
0,1,0.682,0.636,0.279,0.256,0.725,0.713,2.57,2.93,1.21,1.21,13,11,0.975,0.973,1
0,1,0.636,0.575,0.277,0.256,0.72,0.684,2.98,2.99,1.23,1.32,5,11,0.977,0.973,1
0,1,0.595,0.626,0.275,0.282,0.356,0.36,3.38,3.22,1.28,1.33,8,8,0.974,0.982,1
0,1,0.682,0.656,0.285,0.273,0.84,0.776,4.1,3.2,1.34,1.31,4,10,0.979,0.977,1
1,0,0.636,0.617,0.268,0.269,0.747,0.769,3,3.47,1.27,1.36,13,6,0.98,0.981,1
0,1,0.597,0.597,0.266,0.268,0.741,0.751,3.21,3.22,1.23,1.27,6,9,0.98,0.978,1
1,0,0.61,0.564,0.25,0.257,0.691,0.73,3.29,3.79,1.28,1.37,10,19,0.978,0.982,1
1,0,0.63,0.617,0.26,0.276,0.755,0.743,3.52,3.49,1.31,1.25,14,10,0.978,0.98,1
0,1,0.624,0.593,0.278,0.267,0.341,0.337,3.79,3.7,1.3,1.27,13,7,0.977,0.979,1
0,1,0.599,0.636,2.49,2.71,0.644,0.692,2.49,2.71,1.12,1.12,10,12,0.979,0.983,1
0,1,0.617,0.6,3.21,2.58,0.71,0.672,3.21,2.58,1.24,1.12,5,13,0.981,0.978,1
0,1,0.509,0.58,3.27,3.29,0.653,0.722,3.27,3.29,1.25,1.24,7,9,0.98,0.978,1
0,1,0.63,0.556,2.98,2.96,0.743,0.694,2.98,2.96,1.18,1.22,19,10,0.975,0.976,1
1,0,0.594,0.667,3.99,3.37,0.761,0.754,3.99,3.37,1.36,1.31,3,3,0.975,0.983,1
0,1,0.642,0.568,0.259,0.271,0.688,0.774,3.48,3.49,1.29,1.26,12,16,0.976,0.978,1
1,0,0.667,0.59,0.271,0.263,0.761,0.74,3.93,3.11,1.36,1.22,16,8,0.979,0.978,1
0,1,0.586,0.58,0.258,0.28,0.722,0.764,3.49,3.69,1.23,1.3,14,12,0.979,0.985,1
0,1,0.568,0.593,0.27,0.288,0.765,0.796,3.54,4.65,1.24,1.44,11,17,0.98,0.984,1
1,0,0.568,0.534,0.286,0.259,0.825,0.741,4.73,3.83,1.48,1.38,8,7,0.983,0.98,1
1,0,0.562,0.623,0.271,0.266,0.81,0.754,4.02,4.04,1.29,1.35,13,11,0.981,0.987,1
1,0,0.556,0.593,0.283,0.273,0.8,0.766,3.79,3.74,1.24,1.31,9,10,0.981,0.982,1
0,1,0.599,0.599,0.269,0.277,0.733,0.795,3.42,3.79,1.24,1.3,6,15,0.988,0.987,1
